"";"Row";"z.value";"posterior";"local.fdr"
"ENSG00000154134";10592;-11,4149072091479;1;0
"ENSG00000168079";10901;-11,4082996497662;1;0
"ENSG00000188368";9790;11,4072551995357;1;0
"ENSG00000170276";5979;-11,4034076766292;1;0
"ENSG00000099260";8813;-11,3992185419817;1;0
"ENSG00000169252";300;-11,3970259848297;1;0
"ENSG00000137960";5200;-11,3969561652696;1;0
"ENSG00000138207";10288;-11,3709342560777;1;0
"ENSG00000124493";5517;11,3390056551525;1;0
"ENSG00000163815";2878;-11,3344865374935;1;0
"ENSG00000136014";13503;-11,3218012290807;1;0
"ENSG00000139734";3656;11,3177847506726;1;0
"ENSG00000163884";6697;-11,3143123090667;1;0
"ENSG00000091513";12452;-11,2966843138477;1;0
"ENSG00000072163";6959;-11,2956475655274;1;0
"ENSG00000101412";3941;11,2863088848673;1;0
"ENSG00000128918";428;-11,2777930828096;1;0
"ENSG00000198826";729;11,2580553043527;1;0
"ENSG00000172403";12185;-11,2519927724135;1;0
"ENSG00000108106";13347;11,248063873686;1;0
"ENSG00000149596";6382;-11,2372901742464;1;0
"ENSG00000169418";8466;-11,2328144410655;1;0
"ENSG00000085840";8697;11,2225387719747;1;0
"ENSG00000111404";10350;-11,213292853418;1;0
"ENSG00000105173";2394;11,1976422889564;1;0
"ENSG00000187193";7890;-11,1742296340986;1;0
"ENSG00000123612";201;-11,1616421456674;1;0
"ENSG00000136531";10926;-11,1498392712147;1;0
"ENSG00000164932";3269;11,147314262103;1;0
"ENSG00000140525";4649;11,1363190314461;1;0
"ENSG00000161980";9514;11,1346065523763;1;0
"ENSG00000007968";3942;11,133536065271;1;0
"ENSG00000142910";12550;-11,1169484394751;1;0
"ENSG00000187288";2813;-11,1164109110091;1;0
"ENSG00000118946";8895;11,1163926647212;1;0
"ENSG00000166265";3421;-11,1143238651618;1;0
"ENSG00000198478";11209;-11,1093797881576;1;0
"ENSG00000090006";7190;-11,1008406230921;1;0
"ENSG00000254986";3832;11,0930555522325;1;0
"ENSG00000180354";1972;-11,0901207046265;1;0
"ENSG00000123473";12038;11,0707838566064;1;0
"ENSG00000184500";9761;-11,0661883377264;1;0
"ENSG00000147257";5364;-11,0641983199458;1;0
"ENSG00000250305";2010;-11,0566849082306;1;0
"ENSG00000183873";10932;-11,0461354468544;1;0
